Cenovus Energy Inc Quarterly Net Income (Millions of US $),Cenovus Energy Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$731
2024-03-31,$865
2023-12-31,$520
2023-09-30,"$1,389"
2023-06-30,$637
2023-03-31,$470
2022-12-31,$521
2022-09-30,"$1,233"
2022-06-30,"$1,904"
2022-03-31,"$1,276"
2021-12-31,$-353
2021-09-30,$438
2021-06-30,$182
2021-03-31,$174
2020-12-31,$-121
2020-09-30,$-146
2020-06-30,$-170
2020-03-31,"$-1,340"
2019-12-31,$95
2019-09-30,$142
2019-06-30,"$1,334"
2019-03-31,$83
2018-12-31,"$-1,033"
2018-09-30,$-184
2018-06-30,$-324
2018-03-31,$-517
2017-12-31,$529
2017-09-30,$-55
2017-06-30,"$1,963"
2017-03-31,$159
2016-12-31,$74
2016-09-30,$-193
2016-06-30,$-207
2016-03-31,$-86
2015-12-31,$-480
2015-09-30,"$1,377"
2015-06-30,$102
2015-03-31,$-553
2014-12-31,$-374
2014-09-30,$315
2014-06-30,$568
2014-03-31,$225
2013-12-31,$-53
2013-09-30,$356
2013-06-30,$174
2013-03-31,$167
2012-12-31,$-118
2012-09-30,$292
2012-06-30,$389
2012-03-31,$409
2011-12-31,$266
2011-09-30,$503
2011-06-30,$693
2011-03-31,$49
2010-12-31,$74
2010-09-30,$215
2010-06-30,$166
2010-03-31,$518
2009-12-31,$24
2009-09-30,$63
2009-06-30,$149
2009-03-31,$412
