First American Financial Quarterly Net Income (Millions of US $),First American Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$116
2024-03-31,$47
2023-12-31,$34
2023-09-30,$-2
2023-06-30,$139
2023-03-31,$46
2022-12-31,$54
2022-09-30,$2
2022-06-30,$109
2022-03-31,$98
2021-12-31,$260
2021-09-30,$445
2021-06-30,$302
2021-03-31,$234
2020-12-31,$280
2020-09-30,$182
2020-06-30,$171
2020-03-31,$63
2019-12-31,$224
2019-09-30,$187
2019-06-30,$187
2019-03-31,$110
2018-12-31,$92
2018-09-30,$151
2018-06-30,$155
2018-03-31,$76
2017-12-31,$221
2017-09-30,$21
2017-06-30,$122
2017-03-31,$58
2016-12-31,$81
2016-09-30,$107
2016-06-30,$102
2016-03-31,$53
2015-12-31,$81
2015-09-30,$76
2015-06-30,$93
2015-03-31,$38
2014-12-31,$80
2014-09-30,$81
2014-06-30,$50
2014-03-31,$22
2013-12-31,$52
2013-09-30,$64
2013-06-30,$35
2013-03-31,$36
2012-12-31,$93
2012-09-30,$103
2012-06-30,$73
2012-03-31,$31
2011-12-31,$40
2011-09-30,$21
2011-06-30,$32
2011-03-31,$-15
2010-12-31,$47
2010-09-30,$33
2010-06-30,$34
2010-03-31,$14
2009-12-31,$38
2009-09-30,$39
2009-06-30,$29
2009-03-31,$5
