Scotts Miracle-Gro Quarterly Net Income (Millions of US $),Scotts Miracle-Gro Quarterly Net Income (Millions of US $).1
2024-06-30,$132
2024-03-31,$158
2023-12-31,$-81
2023-09-30,$-469
2023-06-30,$44
2023-03-31,$109
2022-12-31,$-65
2022-09-30,$-220
2022-06-30,$-444
2022-03-31,$277
2021-12-31,$-50
2021-09-30,$-48
2021-06-30,$226
2021-03-31,$310
2020-12-31,$24
2020-09-30,$4
2020-06-30,$203
2020-03-31,$252
2019-12-31,$-71
2019-09-30,$-58
2019-06-30,$202
2019-03-31,$397
2018-12-31,$-80
2018-09-30,$-147
2018-06-30,$83
2018-03-31,$149
2017-12-31,$-21
2017-09-30,$-33
2017-06-30,$152
2017-03-31,$165
2016-12-31,$-65
2016-09-30,$-27
2016-06-30,$213
2016-03-31,$210
2015-12-31,$-81
2015-09-30,$-24
2015-06-30,$133
2015-03-31,$125
2014-12-31,$-75
2014-09-30,$-15
2014-06-30,$122
2014-03-31,$126
2013-12-31,$-66
2013-09-30,$-19
2013-06-30,$148
2013-03-31,$100
2012-12-31,$-68
2012-09-30,$-40
2012-06-30,$93
2012-03-31,$127
2011-12-31,$-74
2011-09-30,$-53
2011-06-30,$112
2011-03-31,$178
2010-12-31,$-68
2010-09-30,$-33
2010-06-30,$176
2010-03-31,$119
2009-12-31,$-58
2009-09-30,$-15
2009-06-30,$148
2009-03-31,$77
