Energy Transfer LP Quarterly Net Income (Millions of US $),Energy Transfer LP Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,182"
2024-03-31,"$1,089"
2023-12-31,"$1,203"
2023-09-30,$466
2023-06-30,$797
2023-03-31,"$1,003"
2022-12-31,"$1,049"
2022-09-30,$899
2022-06-30,"$1,220"
2022-03-31,"$1,162"
2021-12-31,$820
2021-09-30,$535
2021-06-30,$539
2021-03-31,"$3,285"
2020-12-31,$509
2020-09-30,$-655
2020-06-30,$353
2020-03-31,$-854
2019-12-31,$972
2019-09-30,$857
2019-06-30,$878
2019-03-31,$807
2018-12-31,$660
2018-09-30,$370
2018-06-30,$342
2018-03-31,$341
2017-12-31,$239
2017-09-30,$240
2017-06-30,$204
2017-03-31,$232
2016-12-31,$226
2016-09-30,$207
2016-06-30,$239
2016-03-31,$311
2015-12-31,$312
2015-09-30,$291
2015-06-30,$298
2015-03-31,$282
2014-12-31,$111
2014-09-30,$188
2014-06-30,$163
2014-03-31,$167
2013-12-31,$-171
2013-09-30,$150
2013-06-30,$127
2013-03-31,$90
2012-12-31,$48
2012-09-30,$35
2012-06-30,$54
2012-03-31,$165
2011-12-31,$86
2011-09-30,$69
2011-06-30,$66
2011-03-31,$88
2010-12-31,$76
2010-09-30,$-15
2010-06-30,$19
2010-03-31,$112
2009-12-31,$139
2009-09-30,$47
2009-06-30,$104
2009-03-31,$151
