Open Text Quarterly Net Income (Millions of US $),Open Text Quarterly Net Income (Millions of US $).1
2024-06-30,$248
2024-03-31,$98
2023-12-31,$38
2023-09-30,$81
2023-06-30,$-49
2023-03-31,$58
2022-12-31,$258
2022-09-30,$-117
2022-06-30,$102
2022-03-31,$75
2021-12-31,$88
2021-09-30,$132
2021-06-30,$181
2021-03-31,$91
2020-12-31,$-65
2020-09-30,$103
2020-06-30,$26
2020-03-31,$26
2019-12-31,$107
2019-09-30,$74
2019-06-30,$72
2019-03-31,$73
2018-12-31,$104
2018-09-30,$36
2018-06-30,$62
2018-03-31,$59
2017-12-31,$85
2017-09-30,$37
2017-06-30,$46
2017-03-31,$22
2016-12-31,$45
2016-09-30,$913
2016-06-30,$86
2016-03-31,$69
2015-12-31,$88
2015-09-30,$41
2015-06-30,$69
2015-03-31,$27
2014-12-31,$74
2014-09-30,$65
2014-06-30,$88
2014-03-31,$46
2013-12-31,$54
2013-09-30,$31
2013-06-30,$42
2013-03-31,$26
2012-12-31,$61
2012-09-30,$19
2012-06-30,$8
2012-03-31,$35
2011-12-31,$47
2011-09-30,$35
2011-06-30,$29
2011-03-31,$36
2010-12-31,$37
2010-09-30,$22
2010-06-30,$52
2010-03-31,$13
2009-12-31,$21
2009-09-30,$2
2009-06-30,$19
2009-03-31,$22
