Civitas Resources Quarterly Net Income (Millions of US $),Civitas Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$216
2024-03-31,$176
2023-12-31,$303
2023-09-30,$140
2023-06-30,$139
2023-03-31,$202
2022-12-31,$282
2022-09-30,$406
2022-06-30,$469
2022-03-31,$92
2021-12-31,$164
2021-09-30,$41
2021-06-30,$-25
2021-03-31,$-0
2020-12-31,$61
2020-09-30,$3
2020-06-30,$-39
2020-03-31,$79
2019-12-31,$-3
2019-09-30,$36
2019-06-30,$41
2019-03-31,$-7
2018-12-31,$106
2018-09-30,$43
2018-06-30,$5
2018-03-31,$14
2017-12-31,$-6
2017-09-30,$4
2017-06-30,$93
2017-03-31,$-94
2016-12-31,$-67
2016-09-30,$-35
2016-06-30,$-49
2016-03-31,$-47
2015-12-31,$-574
2015-09-30,$-112
2015-06-30,$-41
2015-03-31,$-18
2014-12-31,$-43
2014-09-30,$49
2014-06-30,$1
2014-03-31,$14
2013-12-31,$26
2013-09-30,$17
2013-06-30,$15
2013-03-31,$11
2012-12-31,$12
2012-09-30,$3
2012-06-30,$22
2012-03-31,$9
2011-12-31,$-0
2011-09-30,$5
2011-06-30,$8
2011-03-31,$0
2010-12-31,
2009-12-31,
