Ecopetrol S.A Quarterly Net Income (Millions of US $),Ecopetrol S.A Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,013"
2024-03-31,"$1,204"
2023-12-31,"$22,306"
2023-09-30,"$1,017"
2023-06-30,$817
2023-03-31,"$1,132"
2022-12-31,"$27,750"
2022-09-30,"$1,903"
2022-06-30,"$3,141"
2022-03-31,"$1,972"
2021-12-31,"$17,159"
2021-09-30,"$1,142"
2021-06-30,"$1,117"
2021-03-31,$925
2020-12-31,"$1,479"
2020-09-30,$257
2020-06-30,$8
2020-03-31,$319
2019-12-31,"$16,469"
2019-09-30,$903
2019-06-30,"$1,046"
2019-03-31,$824
2018-09-30,$833
2018-06-30,"$1,408"
2018-03-31,$918
2017-09-30,$301
2017-06-30,$392
2016-06-30,$236
2016-03-31,$109
2015-12-31,"$-3,740"
2015-09-30,$196
2015-06-30,$603
2015-03-31,$64
2014-12-31,$-247
2014-09-30,"$1,107"
2014-06-30,"$1,509"
2014-03-31,"$1,671"
2013-12-31,"$1,289"
2013-09-30,"$2,106"
2013-06-30,"$1,715"
2013-03-31,"$1,888"
2012-12-31,"$2,076"
2012-09-30,"$1,773"
2012-06-30,"$2,041"
2012-03-31,"$2,461"
2011-12-31,"$2,473"
2011-09-30,"$2,237"
2011-06-30,"$1,912"
2011-03-31,"$1,907"
2010-12-31,"$1,371"
2010-09-30,$936
2010-06-30,$957
2010-03-31,"$1,069"
2009-12-31,$863
2009-09-30,$642
2009-06-30,$366
2009-03-31,$729
