Essential Utilities Quarterly Net Income (Millions of US $),Essential Utilities Quarterly Net Income (Millions of US $).1
2024-06-30,$75
2024-03-31,$266
2023-12-31,$135
2023-09-30,$80
2023-06-30,$91
2023-03-31,$191
2022-12-31,$115
2022-09-30,$69
2022-06-30,$82
2022-03-31,$199
2021-12-31,$117
2021-09-30,$51
2021-06-30,$81
2021-03-31,$184
2020-12-31,$103
2020-09-30,$56
2020-06-30,$75
2020-03-31,$52
2019-12-31,$64
2019-09-30,$88
2019-06-30,$55
2019-03-31,$17
2018-12-31,$-4
2018-09-30,$78
2018-06-30,$67
2018-03-31,$51
2017-12-31,$53
2017-09-30,$76
2017-06-30,$61
2017-03-31,$49
2016-12-31,$50
2016-09-30,$73
2016-06-30,$60
2016-03-31,$52
2015-12-31,$28
2015-09-30,$67
2015-06-30,$57
2015-03-31,$49
2014-12-31,$67
2014-09-30,$68
2014-06-30,$56
2014-03-31,$43
2013-12-31,$58
2013-09-30,$64
2013-06-30,$54
2013-03-31,$47
2012-12-31,$67
2012-09-30,$51
2012-06-30,$41
2012-03-31,$38
2011-12-31,$34
2011-09-30,$41
2011-06-30,$38
2011-03-31,$30
2010-12-31,$29
2010-09-30,$44
2010-06-30,$30
2010-03-31,$22
2009-12-31,$27
2009-09-30,$33
2009-06-30,$26
2009-03-31,$18
