XPO Quarterly Net Income (Millions of US $),XPO Quarterly Net Income (Millions of US $).1
2024-06-30,$150
2024-03-31,$67
2023-12-31,$58
2023-09-30,$84
2023-06-30,$33
2023-03-31,$14
2022-12-31,$-94
2022-09-30,$131
2022-06-30,$141
2022-03-31,$488
2021-12-31,$122
2021-09-30,$-57
2021-06-30,$156
2021-03-31,$115
2020-12-31,$125
2020-09-30,$84
2020-06-30,$-132
2020-03-31,$21
2019-12-31,$137
2019-09-30,$117
2019-06-30,$122
2019-03-31,$43
2018-12-31,$84
2018-09-30,$101
2018-06-30,$138
2018-03-31,$67
2017-12-31,$187
2017-09-30,$58
2017-06-30,$48
2017-03-31,$20
2016-12-31,$30
2016-09-30,$14
2016-06-30,$43
2016-03-31,$-23
2015-12-31,$-62
2015-09-30,$-93
2015-06-30,$-75
2015-03-31,$-15
2014-12-31,$-52
2014-09-30,$-12
2014-06-30,$-15
2014-03-31,$-29
2013-12-31,$-11
2013-09-30,$-7
2013-06-30,$-18
2013-03-31,$-15
2012-12-31,$-10
2012-09-30,$-4
2012-06-30,$-6
2012-03-31,$-3
2011-12-31,$-2
2011-09-30,$-44
2011-06-30,$1
2011-03-31,$1
2010-12-31,$1
2010-09-30,$2
2010-06-30,$2
2010-03-31,$1
2009-12-31,$1
2009-09-30,$1
2009-06-30,$0
2009-03-31,$0
