Avnet Quarterly Net Income (Millions of US $),Avnet Quarterly Net Income (Millions of US $).1
2024-06-30,$83
2024-03-31,$89
2023-12-31,$118
2023-09-30,$209
2023-06-30,$155
2023-03-31,$187
2022-12-31,$244
2022-09-30,$184
2022-06-30,$247
2022-03-31,$183
2021-12-31,$151
2021-09-30,$111
2021-06-30,$85
2021-03-31,$107
2020-12-31,$19
2020-09-30,$-19
2020-06-30,$52
2020-03-31,$-129
2019-12-31,$4
2019-09-30,$42
2019-06-30,$-32
2019-03-31,$88
2018-12-31,$36
2018-09-30,$84
2018-06-30,$59
2018-03-31,$-320
2017-12-31,$47
2017-09-30,$58
2017-06-30,$81
2017-03-31,$272
2016-12-31,$103
2016-09-30,$69
2016-06-30,$97
2016-03-31,$123
2015-12-31,$156
2015-09-30,$130
2015-06-30,$159
2015-03-31,$122
2014-12-31,$164
2014-09-30,$128
2014-06-30,$186
2014-03-31,$114
2013-12-31,$125
2013-09-30,$121
2013-06-30,$126
2013-03-31,$86
2012-12-31,$137
2012-09-30,$100
2012-06-30,$133
2012-03-31,$148
2011-12-31,$147
2011-09-30,$139
2011-06-30,$239
2011-03-31,$151
2010-12-31,$141
2010-09-30,$138
2010-06-30,$141
2010-03-31,$115
2009-12-31,$104
2009-09-30,$51
2009-06-30,$-31
2009-03-31,$16
