Cadence Bank Quarterly Net Income (Millions of US $),Cadence Bank Quarterly Net Income (Millions of US $).1
2024-06-30,$135
2024-03-31,$115
2023-12-31,$257
2023-09-30,$90
2023-06-30,$112
2023-03-31,$74
2022-12-31,$96
2022-09-30,$121
2022-06-30,$125
2022-03-31,$113
2021-12-31,$-37
2021-09-30,$70
2021-06-30,$73
2021-03-31,$79
2020-12-31,$66
2020-09-30,$71
2020-06-30,$59
2020-03-31,$22
2019-12-31,$66
2019-09-30,$64
2019-06-30,$53
2019-03-31,$52
2018-12-31,$47
2018-09-30,$67
2018-06-30,$54
2018-03-31,$53
2017-12-31,$38
2017-09-30,$40
2017-06-30,$38
2017-03-31,$38
2016-12-31,$38
2016-09-30,$38
2016-06-30,$35
2016-03-31,$23
2015-12-31,$21
2015-09-30,$34
2015-06-30,$40
2015-03-31,$32
2014-12-31,$29
2014-09-30,$29
2014-06-30,$31
2014-03-31,$28
2013-12-31,$28
2013-09-30,$25
2013-06-30,$21
2013-03-31,$21
2012-12-31,$17
2012-09-30,$24
2012-06-30,$21
2012-03-31,$23
2011-12-31,$13
2011-09-30,$12
2011-06-30,$13
2011-03-31,$-0
2010-12-31,$16
2010-09-30,$11
2010-06-30,$-13
2010-03-31,$8
2009-12-31,$-2
2009-09-30,$22
2009-06-30,$34
2009-03-31,$29
