Bank Of Nova Scotia Quarterly Net Income (Millions of US $),Bank Of Nova Scotia Quarterly Net Income (Millions of US $).1
2024-07-31,"$1,282"
2024-04-30,"$1,431"
2024-01-31,"$1,529"
2023-10-31,$882
2023-07-31,"$1,563"
2023-04-30,"$1,527"
2023-01-31,"$1,211"
2022-10-31,"$1,447"
2022-07-31,"$1,946"
2022-04-30,"$2,049"
2022-01-31,"$2,058"
2021-10-31,"$1,915"
2021-07-31,"$1,975"
2021-04-30,"$1,819"
2021-01-31,"$1,760"
2020-10-31,"$1,300"
2020-07-31,$974
2020-04-30,$904
2020-01-31,"$1,719"
2019-10-31,"$1,614"
2019-07-31,"$1,385"
2019-04-30,"$1,595"
2019-01-31,"$1,582"
2018-10-31,"$1,618"
2018-07-31,"$1,500"
2018-04-30,"$1,601"
2018-01-31,"$1,779"
2017-10-31,"$1,590"
2017-07-31,"$1,528"
2017-04-30,"$1,476"
2017-01-31,"$1,431"
2016-10-31,"$1,454"
2016-07-31,"$1,433"
2016-04-30,"$1,122"
2016-01-31,"$1,261"
2015-10-31,"$1,351"
2015-07-31,"$1,443"
2015-04-30,"$1,409"
2015-01-31,"$1,318"
2014-10-31,"$1,208"
2014-07-31,"$2,099"
2014-04-30,"$1,603"
2014-01-31,"$1,451"
2013-10-31,"$1,524"
2013-07-31,"$1,618"
2013-04-30,"$1,485"
2013-01-31,"$1,518"
2012-10-31,"$1,465"
2012-07-31,"$2,071"
2012-04-30,"$1,425"
2012-01-31,"$1,446"
2011-10-31,"$1,201"
2011-07-31,"$1,288"
2011-04-30,"$1,555"
2011-01-31,"$1,207"
2010-10-31,"$1,078"
2010-07-31,"$1,008"
2010-04-30,"$1,090"
2010-01-31,$961
2009-10-31,$854
2009-07-31,$850
2009-04-30,$701
2009-01-31,$853
