Deutsche Bank Aktiengesellschaft Quarterly Net Income (Millions of US $),Deutsche Bank Aktiengesellschaft Quarterly Net Income (Millions of US $).1
2024-06-30,$-823
2024-03-31,"$1,073"
2023-12-31,"$3,203"
2023-09-30,"$1,623"
2023-06-30,$170
2023-03-31,"$1,318"
2022-09-30,
2022-06-30,"$1,255"
2022-03-31,"$1,212"
2021-06-30,$969
2020-06-30,$56
2019-06-30,"$-3,586"
2019-03-31,
2018-12-31,$-508
2018-09-30,$245
2018-06-30,$431
2018-03-31,$148
2017-12-31,"$-2,710"
2017-09-30,$760
2017-06-30,$492
2017-03-31,$609
2016-12-31,"$-2,094"
2016-09-30,$286
2016-06-30,$20
2016-03-31,$236
2015-12-31,"$-2,349"
2015-09-30,"$-6,690"
2015-06-30,$881
2015-03-31,$614
2014-12-31,$526
2014-09-30,$-125
2014-06-30,$325
2014-03-31,"$1,484"
2013-12-31,"$-1,787"
2013-09-30,$54
2013-06-30,$436
2013-03-31,"$2,181"
2012-12-31,"$2,930"
2012-09-30,$968
2012-06-30,$796
2012-03-31,"$1,825"
2011-12-31,$194
2011-09-30,"$1,005"
2011-06-30,"$1,722"
2011-03-31,"$2,819"
2010-12-31,$836
2010-09-30,"$-1,687"
2010-06-30,"$1,480"
2010-03-31,"$2,378"
2009-12-31,"$1,944"
2009-09-30,"$2,041"
2009-06-30,"$1,487"
2009-03-31,"$1,561"
