NIO Quarterly Net Income (Millions of US $),NIO Quarterly Net Income (Millions of US $).1
2024-06-30,$-705
2024-03-31,$-728
2023-12-31,$-800
2023-09-30,$-634
2023-06-30,$-844
2023-03-31,$-699
2022-12-31,$-831
2022-09-30,$-582
2022-06-30,$-410
2022-03-31,$-288
2021-12-31,$-369
2021-09-30,$-444
2021-06-30,$-102
2021-03-31,$-744
2020-12-31,$-271
2020-09-30,$-175
2020-06-30,$-171
2020-03-31,$-243
2019-12-31,$-404
2019-09-30,$-357
2019-06-30,$-483
2019-03-31,$-395
2018-09-30,"$-1,421"
