Box Quarterly Net Income (Millions of US $),Box Quarterly Net Income (Millions of US $).1
2024-07-31,$14
2024-04-30,$12
2024-01-31,$84
2023-10-31,$6
2023-07-31,$6
2023-04-30,$4
2023-01-31,$16
2022-10-31,$5
2022-07-31,$-3
2022-04-30,$-9
2022-01-31,$-9
2021-10-31,$-18
2021-07-31,$-12
2021-04-30,$-15
2021-01-31,$-5
2020-10-31,$-5
2020-07-31,$-8
2020-04-30,$-26
2020-01-31,$-30
2019-10-31,$-41
2019-07-31,$-36
2019-04-30,$-37
2019-01-31,$-20
2018-10-31,$-40
2018-07-31,$-38
2018-04-30,$-37
2018-01-31,$-33
2017-10-31,$-43
2017-07-31,$-39
2017-04-30,$-40
2017-01-31,$-37
2016-10-31,$-38
2016-07-31,$-38
2016-04-30,$-39
2016-01-31,$-50
2015-10-31,$-55
2015-07-31,$-50
2015-04-30,$-47
2015-01-31,$-47
2014-10-31,$-51
2014-07-31,$-39
2014-04-30,$-39
2014-01-31,
2013-01-31,
