JD Quarterly Net Income (Millions of US $),JD Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,740"
2024-03-31,$987
2023-12-31,$496
2023-09-30,"$1,088"
2023-06-30,$907
2023-03-31,$912
2022-12-31,$487
2022-09-30,$839
2022-06-30,$653
2022-03-31,$-472
2021-12-31,$-799
2021-09-30,$-436
2021-06-30,$123
2021-03-31,$552
2020-12-31,"$3,979"
2020-09-30,"$1,114"
2020-06-30,"$2,328"
2020-03-31,$152
2019-12-31,$484
2019-09-30,$86
2019-06-30,$90
2019-03-31,"$1,091"
2018-12-31,$-708
2018-09-30,$437
2018-06-30,$-334
2018-03-31,$243
2017-12-31,$-137
2017-09-30,$152
2017-06-30,$-73
2017-03-31,$35
2016-12-31,$-231
2016-09-30,$-138
2016-06-30,$-38
2016-03-31,$-139
2015-12-31,"$-1,207"
2015-09-30,$-84
2015-06-30,$-82
2015-03-31,$-114
2014-12-31,$-73
2014-09-30,$-27
2014-06-30,$-94
2014-03-31,$-620
2013-12-31,$-18
2013-09-30,$12
2013-06-30,$-5
2012-12-31,
