SouthState Quarterly Net Income (Millions of US $),SouthState Quarterly Net Income (Millions of US $).1
2024-06-30,$132
2024-03-31,$115
2023-12-31,$107
2023-09-30,$124
2023-06-30,$123
2023-03-31,$140
2022-12-31,$144
2022-09-30,$133
2022-06-30,$119
2022-03-31,$100
2021-12-31,$107
2021-09-30,$123
2021-06-30,$99
2021-03-31,$147
2020-12-31,$86
2020-09-30,$95
2020-06-30,$-85
2020-03-31,$24
2019-12-31,$49
2019-09-30,$52
2019-06-30,$41
2019-03-31,$44
2018-12-31,$49
2018-09-30,$47
2018-06-30,$40
2018-03-31,$42
2017-12-31,$2
2017-09-30,$35
2017-06-30,$32
2017-03-31,$18
2016-12-31,$24
2016-09-30,$28
2016-06-30,$25
2016-03-31,$24
2015-12-31,$26
2015-09-30,$25
2015-06-30,$25
2015-03-31,$24
2014-12-31,$21
2014-09-30,$19
2014-06-30,$18
2014-03-31,$16
2013-12-31,$13
2013-09-30,$12
2013-06-30,$13
2013-03-31,$11
2012-12-31,$6
2012-09-30,$9
2012-06-30,$8
2012-03-31,$7
2011-12-31,$5
2011-09-30,$10
2011-06-30,$5
2011-03-31,$3
2010-12-31,$1
2010-09-30,$2
2010-06-30,$1
2010-03-31,$49
2009-12-31,$2
2009-09-30,$2
2009-06-30,$2
2009-03-31,$4
