Embraer-Empresa Brasileira De Aeronautica Quarterly Net Income (Millions of US $),Embraer-Empresa Brasileira De Aeronautica Quarterly Net Income (Millions of US $).1
2024-06-30,$99
2024-03-31,$29
2023-12-31,$193
2023-09-30,$61
2023-06-30,$-19
2023-03-31,$-71
2022-12-31,$23
2022-09-30,$-30
2022-06-30,$-146
2022-03-31,$-32
2021-12-31,$2
2021-09-30,$-45
2021-06-30,$88
2021-03-31,$-90
2020-12-31,$-3
2020-09-30,$-121
2020-06-30,$-315
2020-03-31,$-292
2019-12-31,$-210
2019-09-30,$-77
2019-06-30,$7
2019-03-31,$-43
2018-12-31,$3
2018-09-30,$-13
2018-06-30,$-131
2018-03-31,$-37
2017-12-31,$45
2017-09-30,$104
2017-06-30,$62
2017-03-31,$53
2016-12-31,$195
2016-09-30,$-34
2016-06-30,$-99
2016-03-31,$104
2015-12-31,$111
2015-09-30,$-110
2015-06-30,$129
2015-03-31,$-62
2014-12-31,$91
2014-09-30,$-11
2014-06-30,$143
2014-03-31,$111
2013-12-31,$265
2013-09-30,$53
2013-06-30,$-5
2013-03-31,$30
2012-12-31,$123
2012-09-30,$65
2012-06-30,$54
2012-03-31,$63
2011-12-31,$-92
2011-09-30,$2
2011-06-30,$96
2011-03-31,$105
2010-12-31,$123
2010-09-30,$99
2010-06-30,$70
2010-03-31,$35
2009-12-31,$146
2009-09-30,$58
2009-06-30,$68
2009-03-31,$-23
