Fabrinet Quarterly Net Income (Millions of US $),Fabrinet Quarterly Net Income (Millions of US $).1
2024-06-30,$81
2024-03-31,$81
2023-12-31,$69
2023-09-30,$65
2023-06-30,$61
2023-03-31,$59
2022-12-31,$63
2022-09-30,$65
2022-06-30,$56
2022-03-31,$51
2021-12-31,$49
2021-09-30,$45
2021-06-30,$42
2021-03-31,$37
2020-12-31,$35
2020-09-30,$33
2020-06-30,$28
2020-03-31,$28
2019-12-31,$31
2019-09-30,$26
2019-06-30,$33
2019-03-31,$29
2018-12-31,$32
2018-09-30,$28
2018-06-30,$23
2018-03-31,$21
2017-12-31,$19
2017-09-30,$21
2017-06-30,$27
2017-03-31,$22
2016-12-31,$25
2016-09-30,$23
2016-06-30,$20
2016-03-31,$21
2015-12-31,$20
2015-09-30,$2
2015-06-30,$13
2015-03-31,$11
2014-12-31,$9
2014-09-30,$11
2014-06-30,$10
2014-03-31,$48
2013-12-31,$15
2013-09-30,$19
2013-06-30,$15
2013-03-31,$21
2012-12-31,$17
2012-09-30,$16
2012-06-30,$7
2012-03-31,$-46
2011-12-31,$-33
2011-09-30,$16
2011-06-30,$17
2011-03-31,$17
2010-12-31,$16
2010-09-30,$15
2010-06-30,$14
2010-03-31,$14
2009-12-31,$11
2009-09-30,$6
2009-06-30,
