Q2 Holdings Quarterly Net Income (Millions of US $),Q2 Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-13
2024-03-31,$-14
2023-12-31,$-18
2023-09-30,$-23
2023-06-30,$-24
2023-03-31,$-1
2022-12-31,$-32
2022-09-30,$-28
2022-06-30,$-25
2022-03-31,$-24
2021-12-31,$-25
2021-09-30,$-32
2021-06-30,$-30
2021-03-31,$-26
2020-12-31,$-38
2020-09-30,$-27
2020-06-30,$-39
2020-03-31,$-34
2019-12-31,$-16
2019-09-30,$-19
2019-06-30,$-17
2019-03-31,$-19
2018-12-31,$-12
2018-09-30,$-9
2018-06-30,$-9
2018-03-31,$-6
2017-12-31,$-6
2017-09-30,$-6
2017-06-30,$-8
2017-03-31,$-7
2016-12-31,$-8
2016-09-30,$-9
2016-06-30,$-10
2016-03-31,$-10
2015-12-31,$-8
2015-09-30,$-7
2015-06-30,$-5
2015-03-31,$-5
2014-12-31,$-5
2014-09-30,$-5
2014-06-30,$-5
2014-03-31,$-6
2013-12-31,$-6
2013-09-30,$-5
2013-06-30,$-4
2013-03-31,$-2
2012-12-31,
2011-12-31,
