American Financial Quarterly Net Income (Millions of US $),American Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$209
2024-03-31,$242
2023-12-31,$263
2023-09-30,$177
2023-06-30,$200
2023-03-31,$212
2022-12-31,$276
2022-09-30,$165
2022-06-30,$167
2022-03-31,$290
2021-12-31,$355
2021-09-30,$219
2021-06-30,"$1,002"
2021-03-31,$419
2020-12-31,$692
2020-09-30,$164
2020-06-30,$177
2020-03-31,$-301
2019-12-31,$211
2019-09-30,$147
2019-06-30,$210
2019-03-31,$329
2018-12-31,$-29
2018-09-30,$204
2018-06-30,$210
2018-03-31,$145
2017-12-31,$166
2017-09-30,$11
2017-06-30,$145
2017-03-31,$153
2016-12-31,$385
2016-09-30,$109
2016-06-30,$54
2016-03-31,$101
2015-12-31,$129
2015-09-30,$63
2015-06-30,$141
2015-03-31,$19
2014-12-31,$127
2014-09-30,$116
2014-06-30,$106
2014-03-31,$103
2013-12-31,$158
2013-09-30,$83
2013-06-30,$110
2013-03-31,$120
2012-12-31,$50
2012-09-30,$226
2012-06-30,$99
2012-03-31,$113
2011-12-31,$109
2011-09-30,$97
2011-06-30,$48
2011-03-31,$88
2010-12-31,$136
2010-09-30,$132
2010-06-30,$108
2010-03-31,$106
2009-12-31,$161
2009-09-30,$127
2009-06-30,$127
2009-03-31,$104
