Shopify Quarterly Net Income (Millions of US $),Shopify Quarterly Net Income (Millions of US $).1
2024-06-30,$171
2024-03-31,$-273
2023-12-31,$657
2023-09-30,$718
2023-06-30,"$-1,311"
2023-03-31,$68
2022-12-31,$-623
2022-09-30,$-159
2022-06-30,"$-1,204"
2022-03-31,"$-1,474"
2021-12-31,$-371
2021-09-30,"$1,148"
2021-06-30,$879
2021-03-31,"$1,258"
2020-12-31,$124
2020-09-30,$191
2020-06-30,$36
2020-03-31,$-31
2019-12-31,$1
2019-09-30,$-73
2019-06-30,$-29
2019-03-31,$-24
2018-12-31,$-2
2018-09-30,$-23
2018-06-30,$-24
2018-03-31,$-16
2017-12-31,$-3
2017-09-30,$-9
2017-06-30,$-14
2017-03-31,$-14
2016-12-31,$-9
2016-09-30,$-9
2016-06-30,$-8
2016-03-31,$-9
2015-12-31,$-6
2015-09-30,$-5
2015-06-30,$-3
2015-03-31,$-5
2014-12-31,$-5
2014-09-30,$-4
2014-06-30,$-7
2014-03-31,$-6
2013-12-31,
2012-12-31,
