F&G Annuities & Life Quarterly Net Income (Millions of US $),F&G Annuities & Life Quarterly Net Income (Millions of US $).1
2024-06-30,$198
2024-03-31,$111
2023-12-31,$-299
2023-09-30,$306
2023-06-30,$130
2023-03-31,$-195
2022-12-31,$-100
2022-09-30,$187
2022-06-30,$385
2022-03-31,$239
2021-12-31,
2020-12-31,
