Plains All American Pipeline Quarterly Net Income (Millions of US $),Plains All American Pipeline Quarterly Net Income (Millions of US $).1
2024-06-30,$180
2024-03-31,$203
2023-12-31,$248
2023-09-30,$140
2023-06-30,$227
2023-03-31,$361
2022-12-31,$208
2022-09-30,$333
2022-06-30,$153
2022-03-31,$137
2021-12-31,$400
2021-09-30,$-109
2021-06-30,$-269
2021-03-31,$371
2020-12-31,$-78
2020-09-30,$93
2020-06-30,$92
2020-03-31,"$-2,897"
2019-12-31,$256
2019-09-30,$399
2019-06-30,$395
2019-03-31,$917
2018-12-31,"$1,064"
2018-09-30,$658
2018-06-30,$50
2018-03-31,$237
2017-12-31,$139
2017-09-30,$-8
2017-06-30,$148
2017-03-31,$406
2016-12-31,$91
2016-09-30,$162
2016-06-30,$-81
2016-03-31,$28
2015-12-31,$94
2015-09-30,$98
2015-06-30,$-23
2015-03-31,$136
2014-12-31,$253
2014-09-30,$194
2014-06-30,$165
2014-03-31,$266
2013-12-31,$201
2013-09-30,$133
2013-06-30,$196
2013-03-31,$430
2012-12-31,$233
2012-09-30,$88
2012-06-30,$301
2012-03-31,$162
2011-12-31,$102
2011-09-30,$221
2011-06-30,$225
2011-03-31,$182
2010-12-31,$-33
2010-09-30,$81
2010-06-30,$131
2010-03-31,$151
2009-12-31,$110
2009-09-30,$122
2009-06-30,$136
2009-03-31,$211
