United States Steel Quarterly Net Income (Millions of US $),United States Steel Quarterly Net Income (Millions of US $).1
2024-06-30,$183
2024-03-31,$171
2023-12-31,$-80
2023-09-30,$299
2023-06-30,$477
2023-03-31,$199
2022-12-31,$174
2022-09-30,$490
2022-06-30,$978
2022-03-31,$882
2021-12-31,"$1,069"
2021-09-30,"$2,002"
2021-06-30,"$1,012"
2021-03-31,$91
2020-12-31,$49
2020-09-30,$-234
2020-06-30,$-589
2020-03-31,$-391
2019-12-31,$-668
2019-09-30,$-84
2019-06-30,$68
2019-03-31,$54
2018-12-31,$592
2018-09-30,$291
2018-06-30,$214
2018-03-31,$18
2017-12-31,$159
2017-09-30,$147
2017-06-30,$261
2017-03-31,$-180
2016-12-31,$-105
2016-09-30,$51
2016-06-30,$-46
2016-03-31,$-340
2015-12-31,"$-1,133"
2015-09-30,$-173
2015-06-30,$-261
2015-03-31,$-75
2014-12-31,$275
2014-09-30,$-207
2014-06-30,$-18
2014-03-31,$52
2013-12-31,$297
2013-09-30,"$-1,791"
2013-06-30,$-78
2013-03-31,$-73
2012-12-31,$-50
2012-09-30,$44
2012-06-30,$101
2012-03-31,$-219
2011-12-31,$-211
2011-09-30,$22
2011-06-30,$222
2011-03-31,$-86
2010-12-31,$-249
2010-09-30,$-51
2010-06-30,$-25
2010-03-31,$-157
2009-12-31,$-267
2009-09-30,$-303
2009-06-30,$-392
2009-03-31,$-439
