Algonquin Power & Utilities Quarterly Net Income (Millions of US $),Algonquin Power & Utilities Quarterly Net Income (Millions of US $).1
2024-06-30,$198
2024-03-31,$-92
2023-12-31,$182
2023-09-30,$-175
2023-06-30,$-255
2023-03-31,$268
2022-12-31,$-79
2022-09-30,$-195
2022-06-30,$-36
2022-03-31,$89
2021-12-31,$173
2021-09-30,$-30
2021-06-30,$101
2021-03-31,$12
2020-12-31,$502
2020-09-30,$54
2020-06-30,$284
2020-03-31,$-66
2019-12-31,$170
2019-09-30,$114
2019-06-30,$155
2019-03-31,$84
2018-12-31,$42
2018-09-30,$56
2018-06-30,$63
2018-03-31,$16
2017-12-31,$45
2017-09-30,$46
2017-06-30,$33
2017-03-31,$17
2016-12-31,$33
2016-09-30,$12
2016-06-30,$17
2016-03-31,$29
2015-12-31,$28
2015-09-30,$13
2015-06-30,$16
2015-03-31,$36
2014-12-31,$25
2014-09-30,$-6
2014-06-30,$13
2014-03-31,$33
2013-12-31,$14
2013-09-30,$6
2013-06-30,$-18
2013-03-31,$19
2012-12-31,$6
