Voya Financial Quarterly Net Income (Millions of US $),Voya Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$201
2024-03-31,$234
2023-12-31,$118
2023-09-30,$248
2023-06-30,$154
2023-03-31,$69
2022-12-31,$190
2022-09-30,$166
2022-06-30,$64
2022-03-31,$54
2021-12-31,$647
2021-09-30,$142
2021-06-30,$459
2021-03-31,"$1,086"
2020-12-31,$257
2020-09-30,$-333
2020-06-30,$-66
2020-03-31,$-100
2019-12-31,$-785
2019-09-30,$107
2019-06-30,$226
2019-03-31,$64
2018-12-31,$8
2018-09-30,$142
2018-06-30,$166
2018-03-31,$446
2017-12-31,"$-3,165"
2017-09-30,$149
2017-06-30,$167
2017-03-31,$-143
2016-12-31,$-432
2016-09-30,$-248
2016-06-30,$162
2016-03-31,$192
2015-12-31,$-107
2015-09-30,$40
2015-06-30,$285
2015-03-31,$190
2014-12-31,"$1,383"
2014-09-30,$406
2014-06-30,$248
2014-03-31,$258
2013-12-31,$546
2013-09-30,$347
2013-06-30,$-82
2013-03-31,$-212
2012-12-31,$-23
2012-09-30,$367
2012-06-30,$634
2012-03-31,$-505
2011-12-31,
2010-12-31,
