Wingstop Quarterly Net Income (Millions of US $),Wingstop Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$29
2023-12-31,$19
2023-09-30,$20
2023-06-30,$16
2023-03-31,$16
2022-12-31,$18
2022-09-30,$13
2022-06-30,$13
2022-03-31,$9
2021-12-31,$7
2021-09-30,$11
2021-06-30,$11
2021-03-31,$13
2020-12-31,$-6
2020-09-30,$10
2020-06-30,$12
2020-03-31,$8
2019-12-31,$3
2019-09-30,$6
2019-06-30,$5
2019-03-31,$7
2018-12-31,$2
2018-09-30,$6
2018-06-30,$7
2018-03-31,$6
2017-12-31,$8
2017-09-30,$5
2017-06-30,$5
2017-03-31,$6
2016-12-31,$3
2016-09-30,$3
2016-06-30,$4
2016-03-31,$4
2015-12-31,$4
2015-09-30,$3
2015-06-30,$1
2015-03-31,$3
2014-12-31,$2
2014-09-30,$2
2014-06-30,$3
2014-03-31,$3
2013-12-31,
2012-12-31,
