Taiwan Semiconductor Manufacturing Quarterly Net Income (Millions of US $),Taiwan Semiconductor Manufacturing Quarterly Net Income (Millions of US $).1
2024-06-30,"$7,658"
2024-03-31,"$7,170"
2023-12-31,"$8,412"
2023-09-30,"$6,668"
2023-06-30,"$5,927"
2023-03-31,"$6,810"
2022-12-31,"$7,774"
2022-09-30,"$9,240"
2022-06-30,"$8,059"
2022-03-31,"$7,238"
2021-12-31,"$5,961"
2021-09-30,"$5,610"
2021-06-30,"$4,810"
2021-03-31,"$4,973"
2020-12-31,"$5,575"
2020-09-30,"$4,682"
2020-06-30,"$4,048"
2020-03-31,"$3,884"
2019-12-31,"$4,444"
2019-09-30,"$3,244"
2019-06-30,"$2,150"
2019-03-31,"$1,995"
2018-12-31,"$3,457"
2018-09-30,"$2,904"
2018-06-30,"$2,429"
2018-03-31,"$3,071"
2017-12-31,"$3,657"
2017-09-30,"$2,977"
2017-06-30,"$2,194"
2017-03-31,"$2,812"
2016-12-31,"$2,977"
2016-09-30,"$3,058"
2016-06-30,"$2,240"
2016-03-31,"$1,963"
2015-12-31,"$2,214"
2015-09-30,"$2,358"
2015-06-30,"$2,581"
2015-03-31,"$2,504"
2014-12-31,"$1,944"
2014-09-30,"$2,542"
2014-06-30,"$1,982"
2014-03-31,"$1,580"
2013-12-31,"$1,342"
2013-09-30,"$1,740"
2013-06-30,"$1,736"
2013-03-31,"$1,350"
2012-12-31,"$1,524"
2012-09-30,"$1,652"
2012-06-30,"$1,412"
2012-03-31,"$1,131"
2011-12-31,"$1,043"
2011-09-30,"$1,044"
2011-06-30,"$1,246"
2011-03-31,"$1,241"
2010-12-31,"$1,340"
2010-09-30,"$1,470"
2010-06-30,"$1,266"
2010-03-31,"$1,053"
2009-12-31,"$1,018"
2009-09-30,$932
2009-06-30,$738
2009-03-31,$46
