Cleveland-Cliffs Quarterly Net Income (Millions of US $),Cleveland-Cliffs Quarterly Net Income (Millions of US $).1
2024-06-30,$2
2024-03-31,$-67
2023-12-31,$-155
2023-09-30,$264
2023-06-30,$347
2023-03-31,$-57
2022-12-31,$-214
2022-09-30,$152
2022-06-30,$596
2022-03-31,$801
2021-12-31,$893
2021-09-30,"$1,274"
2021-06-30,$780
2021-03-31,$41
2020-12-31,$64
2020-09-30,$-10
2020-06-30,$-124
2020-03-31,$-52
2019-12-31,$63
2019-09-30,$91
2019-06-30,$161
2019-03-31,$-22
2018-12-31,$609
2018-09-30,$438
2018-06-30,$165
2018-03-31,$-84
2017-12-31,$310
2017-09-30,$53
2017-06-30,$32
2017-03-31,$-28
2016-12-31,$79
2016-09-30,$-26
2016-06-30,$13
2016-03-31,$108
2015-12-31,$-60
2015-09-30,$-15
2015-06-30,$60
2015-03-31,$-773
2014-12-31,"$-1,298"
2014-09-30,"$-5,892"
2014-06-30,$-2
2014-03-31,$-83
2013-12-31,$30
2013-09-30,$104
2013-06-30,$133
2013-03-31,$97
2012-12-31,"$-1,618"
2012-09-30,$85
2012-06-30,$258
2012-03-31,$376
2011-12-31,$185
2011-09-30,$601
2011-06-30,$409
2011-03-31,$423
2010-12-31,$384
2010-09-30,$297
2010-06-30,$261
2010-03-31,$77
2009-12-31,$108
2009-09-30,$59
2009-06-30,$46
2009-03-31,$-7
