Aurora Innovation Quarterly Net Income (Millions of US $),Aurora Innovation Quarterly Net Income (Millions of US $).1
2024-06-30,$-182
2024-03-31,$-165
2023-12-31,$-192
2023-09-30,$-190
2023-06-30,$-218
2023-03-31,$-196
2022-12-31,$-294
2022-09-30,$-198
2022-06-30,"$-1,154"
2022-03-31,$-77
2021-12-31,$-251
2021-09-30,$-133
2021-06-30,$-182
2021-03-31,$-189
2020-12-31,
2019-12-31,
