Imperial Oil Quarterly Net Income (Millions of US $),Imperial Oil Quarterly Net Income (Millions of US $).1
2024-06-30,$828
2024-03-31,$886
2023-12-31,"$1,004"
2023-09-30,"$1,193"
2023-06-30,$502
2023-03-31,$923
2022-12-31,"$1,277"
2022-09-30,"$1,556"
2022-06-30,"$1,886"
2022-03-31,$926
2021-12-31,$649
2021-09-30,$721
2021-06-30,$298
2021-03-31,$310
2020-12-31,$-869
2020-09-30,$2
2020-06-30,$-380
2020-03-31,$-140
2019-12-31,$210
2019-09-30,$321
2019-06-30,$906
2019-03-31,$220
2018-12-31,$652
2018-09-30,$573
2018-06-30,$152
2018-03-31,$408
2017-12-31,$-112
2017-09-30,$296
2017-06-30,$-57
2017-03-31,$252
2016-12-31,"$1,080"
2016-09-30,$769
2016-06-30,$-140
2016-03-31,$-74
2015-12-31,$75
2015-09-30,$366
2015-06-30,$98
2015-03-31,$340
2014-12-31,$581
2014-09-30,$861
2014-06-30,"$1,130"
2014-03-31,$859
2013-12-31,"$1,013"
2013-09-30,$623
2013-06-30,$320
2013-03-31,$792
2012-12-31,"$1,089"
2012-09-30,"$1,039"
2012-06-30,$640
2012-03-31,"$1,034"
2011-12-31,$999
2011-09-30,$864
2011-06-30,$766
2011-03-31,$820
2010-12-31,$798
2010-09-30,$410
2010-06-30,$500
2010-03-31,$470
2009-12-31,$520
2009-09-30,$511
2009-06-30,$179
2009-03-31,$239
