Lithia Motors Quarterly Net Income (Millions of US $),Lithia Motors Quarterly Net Income (Millions of US $).1
2024-06-30,$214
2024-03-31,$163
2023-12-31,$213
2023-09-30,$262
2023-06-30,$297
2023-03-31,$229
2022-12-31,$248
2022-09-30,$330
2022-06-30,$331
2022-03-31,$342
2021-12-31,$291
2021-09-30,$308
2021-06-30,$305
2021-03-31,$156
2020-12-31,$188
2020-09-30,$159
2020-06-30,$78
2020-03-31,$46
2019-12-31,$68
2019-09-30,$85
2019-06-30,$62
2019-03-31,$56
2018-12-31,$60
2018-09-30,$93
2018-06-30,$61
2018-03-31,$52
2017-12-31,$89
2017-09-30,$52
2017-06-30,$53
2017-03-31,$51
2016-12-31,$51
2016-09-30,$54
2016-06-30,$51
2016-03-31,$40
2015-12-31,$48
2015-09-30,$43
2015-06-30,$51
2015-03-31,$41
2014-12-31,$41
2014-09-30,$35
2014-06-30,$38
2014-03-31,$25
2013-12-31,$27
2013-09-30,$31
2013-06-30,$26
2013-03-31,$22
2012-12-31,$20
2012-09-30,$23
2012-06-30,$20
2012-03-31,$17
2011-12-31,$19
2011-09-30,$17
2011-06-30,$15
2011-03-31,$9
2010-12-31,$4
2010-09-30,$10
2010-06-30,$-2
2010-03-31,$1
2009-12-31,$-2
2009-09-30,$6
2009-06-30,$4
2009-03-31,$1
