YPF Sociedad Anonima Quarterly Net Income (Millions of US $),YPF Sociedad Anonima Quarterly Net Income (Millions of US $).1
2024-06-30,$519
2024-03-31,$649
2023-12-31,"$-1,860"
2023-09-30,$-128
2023-06-30,$335
2023-03-31,$341
2022-12-31,$465
2022-09-30,$692
2022-06-30,$802
2022-03-31,$269
2021-12-31,$296
2021-09-30,$232
2021-06-30,$-479
2021-03-31,$-23
2020-12-31,$646
2020-09-30,$-484
2020-06-30,"$-1,252"
2020-03-31,$101
2019-12-31,$-182
2019-09-30,$-252
2019-06-30,$-61
2019-03-31,$-210
2018-12-31,$553
2018-09-30,$422
2018-06-30,$86
2018-03-31,$309
2017-12-31,$725
2017-09-30,$5
2017-06-30,$14
2017-03-31,$2
2016-12-31,$95
2016-09-30,"$-2,024"
2016-06-30,$-52
2016-03-31,$69
2015-12-31,$-170
2015-09-30,$200
2015-06-30,$257
2015-03-31,$245
2014-12-31,$171
2014-09-30,$388
2014-06-30,$184
2014-03-31,$357
2013-12-31,$243
2013-09-30,$237
2013-06-30,$97
2013-03-31,$252
2012-12-31,$225
2012-09-30,$165
2012-06-30,$181
2012-03-31,$368
2011-12-31,$186
2011-09-30,$422
2011-06-30,$240
2011-03-31,$444
2010-12-31,$292
2010-09-30,$391
2010-06-30,$401
2010-03-31,$401
2009-12-31,$382
2009-09-30,$268
2009-06-30,$144
2009-03-31,$145
