ONE Gas Quarterly Net Income (Millions of US $),ONE Gas Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$99
2023-12-31,$71
2023-09-30,$25
2023-06-30,$33
2023-03-31,$103
2022-12-31,$67
2022-09-30,$24
2022-06-30,$32
2022-03-31,$99
2021-12-31,$61
2021-09-30,$20
2021-06-30,$30
2021-03-31,$96
2020-12-31,$58
2020-09-30,$21
2020-06-30,$25
2020-03-31,$92
2019-12-31,$51
2019-09-30,$17
2019-06-30,$24
2019-03-31,$94
2018-12-31,$45
2018-09-30,$16
2018-06-30,$20
2018-03-31,$91
2017-12-31,$47
2017-09-30,$19
2017-06-30,$21
2017-03-31,$76
2016-12-31,$42
2016-09-30,$13
2016-06-30,$20
2016-03-31,$65
2015-12-31,$39
2015-09-30,$7
2015-06-30,$12
2015-03-31,$60
2014-12-31,$37
2014-09-30,$5
2014-06-30,$9
2014-03-31,$59
2013-12-31,$30
2013-09-30,$0
2013-06-30,$15
2013-03-31,$53
2012-12-31,
2011-12-31,
2010-12-31,
