Ternium S.A Quarterly Net Income (Millions of US $),Ternium S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$-728
2024-03-31,$361
2023-12-31,$414
2023-09-30,$-739
2023-06-30,$627
2023-03-31,$374
2022-12-31,$40
2022-09-30,$153
2022-06-30,$799
2022-03-31,$776
2021-12-31,$998
2021-09-30,"$1,202"
2021-06-30,"$1,022"
2021-03-31,$603
2020-12-31,$794
2020-09-30,$-48
2020-06-30,$44
2020-03-31,$-12
2019-12-31,$70
2019-09-30,$95
2019-06-30,$180
2019-03-31,$218
2018-12-31,$351
2018-09-30,$524
2018-06-30,$294
2018-03-31,$339
2017-12-31,$180
2017-09-30,$195
2017-06-30,$250
2017-03-31,$261
2016-12-31,$118
2016-09-30,$229
2016-06-30,$154
2016-03-31,$94
2015-12-31,$-127
2015-09-30,$25
2015-06-30,$41
2015-03-31,$68
2014-12-31,$62
2014-09-30,$112
2014-06-30,$129
2014-03-31,$150
2013-12-31,$126
2013-09-30,$98
2013-06-30,$103
2013-03-31,$129
2012-12-31,$-254
2012-09-30,$123
2012-06-30,$111
2012-03-31,$160
2011-12-31,$136
2011-09-30,$6
2011-06-30,$198
2011-03-31,$205
2010-12-31,$103
2010-09-30,$201
2010-06-30,$231
2010-03-31,$205
2009-12-31,$195
2009-09-30,$105
2009-06-30,$585
2009-03-31,$-117
