Axalta Coating Systems Quarterly Net Income (Millions of US $),Axalta Coating Systems Quarterly Net Income (Millions of US $).1
2024-06-30,$112
2024-03-31,$41
2023-12-31,$73
2023-09-30,$73
2023-06-30,$61
2023-03-31,$61
2022-12-31,$44
2022-09-30,$62
2022-06-30,$44
2022-03-31,$42
2021-12-31,$53
2021-09-30,$69
2021-06-30,$126
2021-03-31,$15
2020-12-31,$70
2020-09-30,$83
2020-06-30,$-83
2020-03-31,$52
2019-12-31,$42
2019-09-30,$66
2019-06-30,$98
2019-03-31,$43
2018-12-31,$75
2018-09-30,$-13
2018-06-30,$75
2018-03-31,$70
2017-12-31,$-62
2017-09-30,$55
2017-06-30,$-21
2017-03-31,$64
2016-12-31,$-36
2016-09-30,$-7
2016-06-30,$51
2016-03-31,$31
2015-12-31,$37
2015-09-30,$35
2015-06-30,$-25
2015-03-31,$45
2014-12-31,$-2
2014-09-30,$-20
2014-06-30,$54
2014-03-31,$-4
2013-12-31,
2013-09-30,$5
2012-12-31,
2011-12-31,
