Churchill Downs Quarterly Net Income (Millions of US $),Churchill Downs Quarterly Net Income (Millions of US $).1
2024-06-30,$209
2024-03-31,$80
2023-12-31,$58
2023-09-30,$61
2023-06-30,$143
2023-03-31,$156
2022-12-31,$1
2022-09-30,$57
2022-06-30,$339
2022-03-31,$42
2021-12-31,$43
2021-09-30,$61
2021-06-30,$108
2021-03-31,$36
2020-12-31,$17
2020-09-30,$43
2020-06-30,$-119
2020-03-31,$-23
2019-12-31,$4
2019-09-30,$15
2019-06-30,$107
2019-03-31,$12
2018-12-31,$11
2018-09-30,$56
2018-06-30,$103
2018-03-31,$182
2017-12-31,$38
2017-09-30,$17
2017-06-30,$78
2017-03-31,$7
2016-12-31,$27
2016-09-30,$9
2016-06-30,$69
2016-03-31,$3
2015-12-31,$8
2015-09-30,$4
2015-06-30,$54
2015-03-31,$-2
2014-12-31,$-14
2014-09-30,$3
2014-06-30,$57
2014-03-31,$-1
2013-12-31,$-6
2013-09-30,$9
2013-06-30,$50
2013-03-31,$1
2012-12-31,$3
2012-09-30,$6
2012-06-30,$48
2012-03-31,$1
2011-12-31,$9
2011-09-30,$20
2011-06-30,$39
2011-03-31,$-3
2010-12-31,$-2
2010-09-30,$-1
2010-06-30,$28
2010-03-31,$-9
2009-12-31,$-7
2009-09-30,$-2
2009-06-30,$31
2009-03-31,$-5
