Lumen Technologies Quarterly Net Income (Millions of US $),Lumen Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$-49
2024-03-31,$57
2023-12-31,"$-1,995"
2023-09-30,$-78
2023-06-30,"$-8,736"
2023-03-31,$511
2022-12-31,"$-3,069"
2022-09-30,$578
2022-06-30,$344
2022-03-31,$599
2021-12-31,$508
2021-09-30,$544
2021-06-30,$506
2021-03-31,$475
2020-12-31,"$-2,289"
2020-09-30,$366
2020-06-30,$377
2020-03-31,$314
2019-12-31,$223
2019-09-30,$302
2019-06-30,$371
2019-03-31,"$-6,165"
2018-12-31,"$-2,412"
2018-09-30,$272
2018-06-30,$292
2018-03-31,$115
2017-12-31,"$1,117"
2017-09-30,$92
2017-06-30,$17
2017-03-31,$163
2016-12-31,$42
2016-09-30,$152
2016-06-30,$196
2016-03-31,$236
2015-12-31,$338
2015-09-30,$205
2015-06-30,$143
2015-03-31,$192
2014-12-31,$188
2014-09-30,$188
2014-06-30,$193
2014-03-31,$203
2013-12-31,$239
2013-09-30,"$-1,045"
2013-06-30,$269
2013-03-31,$298
2012-12-31,$233
2012-09-30,$270
2012-06-30,$73
2012-03-31,$200
2011-12-31,$109
2011-09-30,$138
2011-06-30,$115
2011-03-31,$209
2010-12-31,$219
2010-09-30,$232
2010-06-30,$238
2010-03-31,$253
2009-12-31,$226
2009-09-30,$281
2009-06-30,$69
2009-03-31,$67
