Commercial Metals Quarterly Net Income (Millions of US $),Commercial Metals Quarterly Net Income (Millions of US $).1
2024-05-31,$119
2024-02-29,$86
2023-11-30,$176
2023-08-31,$184
2023-05-31,$234
2023-02-28,$180
2022-11-30,$262
2022-08-31,$289
2022-05-31,$312
2022-02-28,$383
2021-11-30,$233
2021-08-31,$152
2021-05-31,$130
2021-02-28,$66
2020-11-30,$64
2020-08-31,$68
2020-05-31,$65
2020-02-29,$64
2019-11-30,$83
2019-08-31,$86
2019-05-31,$78
2019-02-28,$14
2018-11-30,$20
2018-08-31,$52
2018-05-31,$40
2018-02-28,$10
2017-11-30,$37
2017-08-31,$-30
2017-05-31,$39
2017-02-28,$30
2016-11-30,$6
2016-08-31,$-0
2016-05-31,$19
2016-02-29,$11
2015-11-30,$25
2015-08-31,$12
2015-05-31,$29
2015-02-28,$6
2014-11-30,$32
2014-08-31,$33
2014-05-31,$24
2014-02-28,$11
2013-11-30,$46
2013-08-31,$4
2013-05-31,$19
2013-02-28,$5
2012-11-30,$50
2012-08-31,$30
2012-05-31,$41
2012-02-29,$29
2011-11-30,$108
2011-08-31,$-120
2011-05-31,$36
2011-02-28,$-46
2010-11-30,$1
2010-08-31,$8
2010-05-31,$-9
2010-02-28,$-173
2009-11-30,$-31
2009-08-31,$7
2009-05-31,$-13
2009-02-28,$-35
