Cemex S.A.B De C.V Quarterly Net Income (Millions of US $),Cemex S.A.B De C.V Quarterly Net Income (Millions of US $).1
2024-06-30,$230
2024-03-31,$254
2023-12-31,$-441
2023-09-30,$126
2023-06-30,$272
2023-03-31,$225
2022-12-31,$-99
2022-09-30,$494
2022-06-30,$265
2022-03-31,$198
2021-12-31,$195
2021-09-30,$-376
2021-06-30,$270
2021-03-31,$665
2020-12-31,$70
2020-09-30,"$-1,535"
2020-06-30,$-44
2020-03-31,$42
2019-12-31,$-238
2019-09-30,$187
2019-06-30,$155
2019-03-31,$39
2018-12-31,$-43
2018-09-30,$169
2018-06-30,$376
2018-03-31,$26
2017-12-31,$-107
2017-09-30,$289
2017-06-30,$288
2017-03-31,$336
2016-12-31,$226
2016-09-30,$286
2016-06-30,$205
2016-03-31,$35
2015-12-31,$144
2015-09-30,$-44
2015-06-30,$114
2015-03-31,$-149
2014-12-31,$-178
2014-09-30,$-106
2014-06-30,$76
2014-03-31,$-293
2013-12-31,$-255
2013-09-30,$-155
2013-06-30,$-152
2013-03-31,$-281
2012-12-31,$-489
2012-09-30,$-203
2012-06-30,$-187
2012-03-31,$-26
2011-12-31,$-147
2011-09-30,$-822
2011-06-30,$-294
2011-03-31,$-276
2010-12-31,$-581
2010-09-30,$-89
2010-06-30,$-306
2010-03-31,$-342
2009-12-31,$-213
2009-09-30,$134
2009-06-30,$187
2009-03-31,$3
