Gaming And Leisure Properties Quarterly Net Income (Millions of US $),Gaming And Leisure Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$208
2024-03-31,$174
2023-12-31,$211
2023-09-30,$184
2023-06-30,$156
2023-03-31,$183
2022-12-31,$194
2022-09-30,$220
2022-06-30,$151
2022-03-31,$119
2021-12-31,$120
2021-09-30,$149
2021-06-30,$138
2021-03-31,$127
2020-12-31,$170
2020-09-30,$127
2020-06-30,$112
2020-03-31,$97
2019-12-31,$115
2019-09-30,$90
2019-06-30,$93
2019-03-31,$93
2018-12-31,$46
2018-09-30,$105
2018-06-30,$92
2018-03-31,$97
2017-12-31,$93
2017-09-30,$97
2017-06-30,$96
2017-03-31,$94
2016-12-31,$94
2016-09-30,$89
2016-06-30,$73
2016-03-31,$33
2015-12-31,$30
2015-09-30,$33
2015-06-30,$32
2015-03-31,$33
2014-12-31,$20
2014-09-30,$37
2014-06-30,$37
2014-03-31,$44
2013-12-31,$4
2013-09-30,$3
2013-06-30,$5
2013-03-31,$3
2012-12-31,
2012-09-30,$5
2012-06-30,$8
2011-12-31,
2010-12-31,
