RLI Quarterly Net Income (Millions of US $),RLI Quarterly Net Income (Millions of US $).1
2024-06-30,$82
2024-03-31,$128
2023-12-31,$115
2023-09-30,$14
2023-06-30,$78
2023-03-31,$99
2022-12-31,$98
2022-09-30,$440
2022-06-30,$-2
2022-03-31,$48
2021-12-31,$95
2021-09-30,$29
2021-06-30,$82
2021-03-31,$73
2020-12-31,$84
2020-09-30,$42
2020-06-30,$92
2020-03-31,$-61
2019-12-31,$53
2019-09-30,$32
2019-06-30,$40
2019-03-31,$65
2018-12-31,$-21
2018-09-30,$39
2018-06-30,$33
2018-03-31,$12
2017-12-31,$57
2017-09-30,$2
2017-06-30,$26
2017-03-31,$20
2016-12-31,$32
2016-09-30,$22
2016-06-30,$29
2016-03-31,$31
2015-12-31,$34
2015-09-30,$36
2015-06-30,$37
2015-03-31,$31
2014-12-31,$37
2014-09-30,$33
2014-06-30,$36
2014-03-31,$29
2013-12-31,$34
2013-09-30,$38
2013-06-30,$30
2013-03-31,$25
2012-12-31,$25
2012-09-30,$25
2012-06-30,$25
2012-03-31,$28
2011-12-31,$30
2011-09-30,$24
2011-06-30,$45
2011-03-31,$28
2010-12-31,$41
2010-09-30,$28
2010-06-30,$35
2010-03-31,$24
2009-12-31,$31
2009-09-30,$31
2009-06-30,$34
2009-03-31,$-2
