Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp Quarterly Net Income (Millions of US $),Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp Quarterly Net Income (Millions of US $).1
2024-06-30,$232
2024-03-31,$166
2023-12-31,$238
2023-09-30,$173
2023-06-30,$150
2023-03-31,$144
2022-12-31,$126
2022-09-30,$206
2022-06-30,$86
2022-03-31,$187
2021-12-31,$101
2021-09-30,$90
2021-06-30,$146
2021-03-31,$91
2020-12-31,$188
2020-09-30,$78
2020-06-30,$71
2020-03-31,$-149
2019-12-31,$260
2019-09-30,$305
2019-06-30,$116
2019-03-31,$172
2018-12-31,$403
2018-09-30,$144
2018-06-30,$51
2018-03-31,$179
2017-12-31,$186
2017-09-30,$285
2017-06-30,$103
2017-03-31,$215
2016-12-31,$279
2016-09-30,$177
2016-06-30,$228
2016-03-31,$162
2015-12-31,$107
2015-09-30,$-165
2015-06-30,$110
2015-03-31,$112
2014-12-31,$10
2014-09-30,$36
2014-06-30,$133
2014-03-31,$215
2013-12-31,$261
2013-09-30,$203
2013-06-30,$157
2013-03-31,$247
2012-12-31,$385
2012-09-30,$175
2012-06-30,$145
2012-03-31,$250
2011-12-31,$271
2011-09-30,$42
2011-06-30,$294
2011-03-31,$110
2010-12-31,$344
2010-09-30,$258
2010-06-30,$187
2010-03-31,$162
2009-12-31,$264
2009-09-30,$114
2009-06-30,$256
2009-03-31,$122
