TD SYNNEX Quarterly Net Income (Millions of US $),TD SYNNEX Quarterly Net Income (Millions of US $).1
2024-08-31,$179
2024-05-31,$144
2024-02-29,$172
2023-11-30,$188
2023-08-31,$139
2023-05-31,$133
2023-02-28,$167
2022-11-30,$221
2022-08-31,$149
2022-05-31,$149
2022-02-28,$132
2021-11-30,$119
2021-08-31,$95
2021-05-31,$93
2021-02-28,$88
2020-11-30,$215
2020-08-31,$134
2020-05-31,$57
2020-02-29,$123
2019-11-30,$179
2019-08-31,$122
2019-05-31,$113
2019-02-28,$86
2018-11-30,$114
2018-08-31,$66
2018-05-31,$93
2018-02-28,$24
2017-11-30,$89
2017-08-31,$74
2017-05-31,$72
2017-02-28,$61
2016-11-30,$83
2016-08-31,$59
2016-05-31,$44
2016-02-29,$47
2015-11-30,$63
2015-08-31,$48
2015-05-31,$52
2015-02-28,$46
2014-11-30,$57
2014-08-31,$45
2014-05-31,$40
2014-02-28,$38
2013-11-30,$39
2013-08-31,$47
2013-05-31,$31
2013-02-28,$33
2012-11-30,$42
2012-08-31,$35
2012-05-31,$34
2012-02-29,$38
2011-11-30,$50
2011-08-31,$39
2011-05-31,$31
2011-02-28,$30
2010-11-30,$38
2010-08-31,$31
2010-05-31,$25
2010-02-28,$35
2009-11-30,$30
2009-08-31,$22
2009-05-31,$19
2009-02-28,$19
