Signet Jewelers Quarterly Net Income (Millions of US $),Signet Jewelers Quarterly Net Income (Millions of US $).1
2024-07-31,$-102
2024-04-30,$-40
2024-01-31,$618
2023-10-31,$3
2023-07-31,$67
2023-04-30,$89
2023-01-31,$269
2022-10-31,$29
2022-07-31,$137
2022-04-30,$-92
2022-01-31,$306
2021-10-31,$84
2021-07-31,$216
2021-04-30,$130
2021-01-31,$246
2020-10-31,$1
2020-07-31,$-90
2020-04-30,$-205
2020-01-31,$179
2019-10-31,$-44
2019-07-31,$-44
2019-04-30,$-18
2019-01-31,$-116
2018-10-31,$-38
2018-07-31,$-31
2018-04-30,$-505
2018-01-31,$343
2017-10-31,$-12
2017-07-31,$85
2017-04-30,$70
2017-01-31,$288
2016-10-31,$15
2016-07-31,$82
2016-04-30,$147
2016-01-31,$272
2015-10-31,$15
2015-07-31,$62
2015-04-30,$119
2015-01-31,$228
2014-10-31,$-1
2014-07-31,$58
2014-04-30,$97
2014-01-31,$175
2013-10-31,$34
2013-07-31,$67
2013-04-30,$92
2013-01-31,$172
2012-10-31,$35
2012-07-31,$71
2012-04-30,$83
2012-01-31,$157
2011-10-31,$26
2011-07-31,$66
2011-04-30,$75
2011-01-31,$105
2010-10-31,$6
2010-07-31,$39
2010-04-30,$50
2010-01-31,$112
2009-10-31,$-9
2009-07-31,$28
2009-04-30,$26
2009-01-31,$-433
