NexGen Energy Quarterly Net Income (Millions of US $),NexGen Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$10
2024-03-31,$-26
2023-12-31,$118
2023-09-30,$-39
2023-06-30,$-14
2023-03-31,$-5
2022-12-31,$-17
2022-09-30,$-17
2022-06-30,$11
2022-03-31,$-20
2021-12-31,$-13
2021-09-30,$-14
2021-06-30,$-15
2021-03-31,$-52
2020-12-31,$-45
2020-09-30,$-16
2020-06-30,$-13
2020-03-31,$-7
2019-12-31,$-8
2019-09-30,$-0
2019-06-30,$-9
2019-03-31,$5
2018-12-31,$11
2018-09-30,$-15
2018-06-30,$-19
2018-03-31,$24
2017-12-31,$-26
2017-09-30,$-1
2017-06-30,$2
2017-03-31,$-19
2016-12-31,$-15
