Liberty Global Quarterly Net Income (Millions of US $),Liberty Global Quarterly Net Income (Millions of US $).1
2024-06-30,$268
2024-03-31,$510
2023-12-31,"$-3,490"
2023-09-30,$659
2023-06-30,$-500
2023-03-31,$-721
2022-12-31,"$-4,700"
2022-09-30,"$2,348"
2022-06-30,"$2,787"
2022-03-31,"$1,038"
2021-12-31,$636
2021-09-30,$277
2021-06-30,"$11,128"
2021-03-31,"$1,385"
2020-12-31,"$-1,031"
2020-09-30,"$-1,023"
2020-06-30,$-524
2020-03-31,$950
2019-12-31,"$-1,387"
2019-09-30,"$12,848"
2019-06-30,$53
2019-03-31,$7
2018-12-31,$25
2018-09-30,$974
2018-06-30,$913
2018-03-31,"$-1,187"
2017-12-31,$-992
2017-09-30,$-792
2017-06-30,$-674
2017-03-31,$-320
2016-12-31,"$2,223"
2016-09-30,$-250
2016-06-30,$101
2016-03-31,$-369
2015-12-31,$-284
2015-09-30,$133
2015-06-30,$-465
2015-03-31,$-538
2014-12-31,$-523
2014-09-30,$157
2014-06-30,$-250
2014-03-31,$-79
2013-12-31,$-121
2013-09-30,$-830
2013-06-30,$-12
2013-03-31,$-1
2012-12-31,$-331
2012-09-30,$-22
2012-06-30,$702
2012-03-31,$-25
2011-12-31,$-435
2011-09-30,$-333
2011-06-30,$-347
2011-03-31,$342
2010-12-31,$58
2010-09-30,$279
2010-06-30,$-684
2010-03-31,$737
2009-12-31,$100
2009-09-30,$-120
2009-06-30,$-93
2009-03-31,$-299
