Summit Materials Quarterly Net Income (Millions of US $),Summit Materials Quarterly Net Income (Millions of US $).1
2024-06-30,$106
2024-03-31,$-67
2023-12-31,$3
2023-09-30,$230
2023-06-30,$84
2023-03-31,$-31
2022-12-31,$30
2022-09-30,$86
2022-06-30,$190
2022-03-31,$-34
2021-12-31,$44
2021-09-30,$74
2021-06-30,$57
2021-03-31,$-23
2020-12-31,$35
2020-09-30,$91
2020-06-30,$57
2020-03-31,$-45
2019-12-31,$36
2019-09-30,$56
2019-06-30,$36
2019-03-31,$-69
2018-12-31,$-19
2018-09-30,$71
2018-06-30,$36
2018-03-31,$-54
2017-12-31,$43
2017-09-30,$81
2017-06-30,$50
2017-03-31,$-52
2016-12-31,$-0
2016-09-30,$45
2016-06-30,$13
2016-03-31,$-21
2015-12-31,$23
2015-09-30,$15
2015-06-30,$-0
2015-03-31,$-10
2014-12-31,$3
2014-09-30,$27
2014-06-30,$12
2014-03-31,$-51
2013-12-31,
2012-12-31,
