SEI Investments Quarterly Net Income (Millions of US $),SEI Investments Quarterly Net Income (Millions of US $).1
2024-06-30,$139
2024-03-31,$131
2023-12-31,$121
2023-09-30,$116
2023-06-30,$119
2023-03-31,$107
2022-12-31,$112
2022-09-30,$62
2022-06-30,$111
2022-03-31,$190
2021-12-31,$145
2021-09-30,$138
2021-06-30,$134
2021-03-31,$129
2020-12-31,$126
2020-09-30,$111
2020-06-30,$101
2020-03-31,$109
2019-12-31,$129
2019-09-30,$132
2019-06-30,$127
2019-03-31,$114
2018-12-31,$116
2018-09-30,$128
2018-06-30,$122
2018-03-31,$140
2017-12-31,$122
2017-09-30,$102
2017-06-30,$92
2017-03-31,$89
2016-12-31,$89
2016-09-30,$87
2016-06-30,$81
2016-03-31,$77
2015-12-31,$81
2015-09-30,$79
2015-06-30,$86
2015-03-31,$85
2014-12-31,$77
2014-09-30,$84
2014-06-30,$83
2014-03-31,$75
2013-12-31,$66
2013-09-30,$67
2013-06-30,$83
2013-03-31,$72
2012-12-31,$57
2012-09-30,$51
2012-06-30,$50
2012-03-31,$50
2011-12-31,$44
2011-09-30,$49
2011-06-30,$54
2011-03-31,$58
2010-12-31,$62
2010-09-30,$56
2010-06-30,$53
2010-03-31,$59
2009-12-31,$46
2009-09-30,$53
2009-06-30,$42
2009-03-31,$34
