ICICI Bank Quarterly Net Income (Millions of US $),ICICI Bank Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,404"
2024-03-31,"$1,413"
2023-12-31,"$1,326"
2023-09-30,"$1,318"
2023-06-30,"$1,298"
2023-03-31,"$1,221"
2022-12-31,"$1,073"
2022-09-30,"$1,001"
2022-06-30,$960
2022-03-31,"$1,073"
2021-12-31,$824
2021-09-30,$822
2021-06-30,$646
2021-03-31,$660
2020-12-31,$748
2020-09-30,$659
2020-06-30,$415
2019-09-30,$161
2019-06-30,$362
2019-03-31,$140
2018-12-31,$230
2018-09-30,$125
2018-06-30,$-17
2018-03-31,$159
2017-12-31,$255
2017-09-30,$315
2017-06-30,$317
2017-03-31,$302
2016-12-31,$362
2016-09-30,$463
2016-06-30,$334
2016-03-31,$104
2015-12-31,$456
2015-09-30,$462
2015-06-30,$468
2015-03-31,$461
2014-09-30,$439
2014-06-30,$441
2014-03-31,$437
2013-12-31,$410
2013-09-30,$376
2013-06-30,$463
2013-03-31,$459
2012-12-31,$409
2012-09-30,$370
2012-06-30,$327
2012-03-31,$356
2011-12-31,$325
2011-09-30,$407
2011-06-30,$298
2011-03-31,$352
2010-12-31,$321
2010-09-30,$275
2010-06-30,$221
2010-03-31,$224
2009-12-31,$237
2009-09-30,$216
2009-06-30,$183
2009-03-31,$147
