Wipro Quarterly Net Income (Millions of US $),Wipro Quarterly Net Income (Millions of US $).1
2024-06-30,$360
2023-09-30,$318
2023-06-30,$349
2023-03-31,$358
2022-12-31,$370
2022-09-30,$327
2022-06-30,$326
2022-03-31,$382
2021-12-31,$399
2021-09-30,$394
2021-06-30,$435
2021-03-31,$420
2020-12-31,$406
2020-09-30,$335
2020-06-30,$315
2020-03-31,$236
2019-12-31,$344
2019-09-30,$362
2019-06-30,$346
2019-03-31,$369
2018-12-31,$361
2018-09-30,$260
2018-06-30,$310
2018-03-31,$271
2017-12-31,$302
2017-09-30,$336
2017-06-30,$321
2017-03-31,$387
2016-12-31,$309
2016-09-30,$310
2016-06-30,$303
2016-03-31,$320
2015-12-31,$338
2015-09-30,$341
2015-06-30,$344
2015-03-31,$366
2014-12-31,$348
2014-09-30,$337
2014-06-30,$353
2014-03-31,$371
2013-12-31,$325
2013-09-30,$309
2013-06-30,$273
2013-03-31,$317
2012-12-31,$313
2012-09-30,$304
2012-06-30,$286
2012-03-31,$291
2011-12-31,$275
2011-09-30,$265
2011-06-30,$299
2011-03-31,$309
2010-12-31,$294
2010-09-30,$292
2010-06-30,$286
2010-03-31,$270
2009-12-31,$260
2009-09-30,$245
2009-06-30,$213
2009-03-31,$178
