Albertsons Quarterly Net Income (Millions of US $),Albertsons Quarterly Net Income (Millions of US $).1
2024-08-31,$146
2024-05-31,$241
2024-02-29,$250
2023-11-30,$361
2023-08-31,$267
2023-05-31,$417
2023-02-28,$8
2022-11-30,$376
2022-08-31,$343
2022-05-31,$484
2022-02-28,$181
2021-11-30,$363
2021-08-31,$295
2021-05-31,$445
2021-02-28,$-144
2020-11-30,$124
2020-08-31,$285
2020-05-31,$586
2020-02-29,$68
2019-11-30,$55
2019-08-31,$295
2019-05-31,$49
2019-02-28,
2018-02-28,
