AGCO Quarterly Net Income (Millions of US $),AGCO Quarterly Net Income (Millions of US $).1
2024-06-30,$-367
2024-03-31,$168
2023-12-31,$339
2023-09-30,$281
2023-06-30,$319
2023-03-31,$233
2022-12-31,$322
2022-09-30,$238
2022-06-30,$178
2022-03-31,$152
2021-12-31,$282
2021-09-30,$181
2021-06-30,$283
2021-03-31,$151
2020-12-31,$135
2020-09-30,$157
2020-06-30,$70
2020-03-31,$65
2019-12-31,$-88
2019-09-30,$8
2019-06-30,$141
2019-03-31,$65
2018-12-31,$99
2018-09-30,$71
2018-06-30,$91
2018-03-31,$24
2017-12-31,$44
2017-09-30,$61
2017-06-30,$92
2017-03-31,$-10
2016-12-31,$62
2016-09-30,$40
2016-06-30,$50
2016-03-31,$8
2015-12-31,$62
2015-09-30,$67
2015-06-30,$107
2015-03-31,$30
2014-12-31,$78
2014-09-30,$65
2014-06-30,$168
2014-03-31,$100
2013-12-31,$139
2013-09-30,$126
2013-06-30,$214
2013-03-31,$118
2012-12-31,$103
2012-09-30,$95
2012-06-30,$205
2012-03-31,$120
2011-12-31,$285
2011-09-30,$84
2011-06-30,$134
2011-03-31,$80
2010-12-31,$85
2010-09-30,$62
2010-06-30,$63
2010-03-31,$10
2009-12-31,$34
2009-09-30,$11
2009-06-30,$57
2009-03-31,$34
