Ambev S.A Quarterly Net Income (Millions of US $),Ambev S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$459
2024-03-31,$747
2023-12-31,$886
2023-09-30,$801
2023-06-30,$506
2023-03-31,$712
2022-12-31,$951
2022-09-30,$593
2022-06-30,$603
2022-03-31,$653
2021-12-31,$956
2021-09-30,$680
2021-06-30,$232
2021-03-31,$480
2020-12-31,"$1,309"
2020-09-30,$423
2020-06-30,$229
2020-03-31,$247
2019-12-31,"$1,005"
2019-09-30,$630
2019-06-30,$643
2019-03-31,$707
2018-12-31,$877
2018-09-30,$719
2018-06-30,$645
2018-03-31,$776
2017-12-31,$969
2017-09-30,$0
2017-06-30,$627
2017-03-31,$700
2016-12-31,"$1,357"
2016-09-30,$944
2016-06-30,$584
2016-03-31,$711
2015-12-31,"$1,143"
2015-09-30,$843
2015-06-30,$817
2015-03-31,$990
2014-12-31,"$1,859"
2014-09-30,"$1,243"
2014-06-30,$974
2014-03-31,"$1,080"
2013-12-31,"$1,719"
2013-09-30,"$1,003"
2013-06-30,$555
2013-03-31,"$1,168"
2012-12-31,"$1,874"
2012-09-30,"$1,235"
2012-06-30,$904
2012-03-31,"$1,246"
2011-12-31,"$1,714"
2011-09-30,"$1,041"
2011-06-30,"$1,144"
2011-03-31,"$1,317"
2010-12-31,"$1,553"
2010-09-30,"$1,064"
2010-06-30,$856
2010-03-31,$946
2009-12-31,"$1,030"
2009-09-30,$661
2009-06-30,$748
2009-03-31,$657
