V.F Quarterly Net Income (Millions of US $),V.F Quarterly Net Income (Millions of US $).1
2024-06-30,$-259
2024-03-31,$-418
2023-12-31,$-42
2023-09-30,$-451
2023-06-30,$-57
2023-03-31,$-215
2022-12-31,$508
2022-09-30,$-118
2022-06-30,$-56
2022-03-31,$81
2021-12-31,$518
2021-09-30,$464
2021-06-30,$324
2021-03-31,$90
2020-12-31,$347
2020-09-30,$257
2020-06-30,$-286
2020-03-31,$-484
2019-12-31,$465
2019-09-30,$649
2019-06-30,$49
2019-03-31,$129
2018-12-31,$464
2018-09-30,$507
2018-06-30,$160
2018-03-31,
2017-12-31,
2017-09-30,$386
2017-06-30,$110
2017-03-31,$209
2016-12-31,
2016-09-30,$498
2016-06-30,$51
2016-03-31,$260
2015-12-31,
2015-09-30,$460
2015-06-30,$171
2015-03-31,$289
2014-12-31,
2014-09-30,$471
2014-06-30,$158
2014-03-31,$297
2013-12-31,
2013-09-30,$434
2013-06-30,$138
2013-03-31,$270
2012-12-31,
2012-09-30,$381
2012-06-30,$155
2012-03-31,$215
2011-12-31,
2011-09-30,$301
2011-06-30,$129
2011-03-31,$201
2010-12-31,
2010-09-30,$243
2010-06-30,$111
2010-03-31,$164
2009-12-31,
2009-09-30,$218
2009-06-30,$76
2009-03-31,$101
