"STARWOOD PROPERTY TRUST, INC Quarterly Net Income (Millions of US $)","STARWOOD PROPERTY TRUST, INC Quarterly Net Income (Millions of US $).1"
2024-06-30,$76
2024-03-31,$152
2023-12-31,$70
2023-09-30,$46
2023-06-30,$166
2023-03-31,$50
2022-12-31,$139
2022-09-30,$192
2022-06-30,$208
2022-03-31,$316
2021-12-31,$86
2021-09-30,$127
2021-06-30,$116
2021-03-31,$111
2020-12-31,$109
2020-09-30,$150
2020-06-30,$140
2020-03-31,$-67
2019-12-31,$173
2019-09-30,$139
2019-06-30,$127
2019-03-31,$70
2018-12-31,$94
2018-09-30,$84
2018-06-30,$108
2018-03-31,$100
2017-12-31,$93
2017-09-30,$88
2017-06-30,$117
2017-03-31,$102
2016-12-31,$119
2016-09-30,$106
2016-06-30,$111
2016-03-31,$27
2015-12-31,$93
2015-09-30,$117
2015-06-30,$117
2015-03-31,$120
2014-12-31,$93
2014-09-30,$163
2014-06-30,$118
2014-03-31,$121
2013-12-31,$95
2013-09-30,$87
2013-06-30,$60
2013-03-31,$62
2012-12-31,$57
2012-09-30,$50
2012-06-30,$44
2012-03-31,$50
2011-12-31,$42
2011-09-30,$14
2011-06-30,$32
2011-03-31,$31
2010-12-31,$16
2010-09-30,$23
2010-06-30,$11
2010-03-31,$6
2009-12-31,
2009-09-30,$-2
