Vipshop Holdings Quarterly Net Income (Millions of US $),Vipshop Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$266
2024-03-31,$321
2023-12-31,$418
2023-09-30,$166
2023-06-30,$289
2023-03-31,$271
2022-12-31,$312
2022-09-30,$237
2022-06-30,$192
2022-03-31,$173
2021-12-31,$232
2021-09-30,$98
2021-06-30,$169
2021-03-31,$236
2020-12-31,$408
2020-09-30,$183
2020-06-30,$218
2020-03-31,$97
2019-12-31,$206
2019-09-30,$122
2019-06-30,$119
2019-03-31,$130
2018-12-31,$89
2018-09-30,$33
2018-06-30,$103
2018-03-31,$84
2017-12-31,$112
2017-09-30,$51
2017-06-30,$57
2017-03-31,$80
2016-12-31,$100
2016-09-30,$51
2016-06-30,$68
2016-03-31,$74
2015-12-31,$78
2015-09-30,$50
2015-06-30,$64
2015-03-31,$59
2014-12-31,$57
2014-09-30,$28
2014-06-30,$26
2014-03-31,$27
2013-12-31,$25
2013-09-30,$12
2013-06-30,$9
2013-03-31,$6
2012-12-31,$6
2012-09-30,$-1
2012-06-30,$-6
2012-03-31,$-9
2011-12-31,
2011-09-30,$-18
