AGNC Investment Quarterly Net Income (Millions of US $),AGNC Investment Quarterly Net Income (Millions of US $).1
2024-06-30,$-80
2024-03-31,$412
2023-12-31,$381
2023-09-30,$-423
2023-06-30,$255
2023-03-31,$-181
2022-12-31,$532
2022-09-30,$-692
2022-06-30,$-459
2022-03-31,$-676
2021-12-31,$-52
2021-09-30,$187
2021-06-30,$-436
2021-03-31,$950
2020-12-31,$750
2020-09-30,$637
2020-06-30,$693
2020-03-31,"$-2,442"
2019-12-31,$847
2019-09-30,$-17
2019-06-30,$-457
2019-03-31,$255
2018-12-31,$-813
2018-09-30,$207
2018-06-30,$284
2018-03-31,$415
2017-12-31,$376
2017-09-30,$271
2017-06-30,$17
2017-03-31,$69
2016-12-31,"$1,012"
2016-09-30,$504
2016-06-30,$-142
2016-03-31,$-779
2015-12-31,$581
2015-09-30,$-640
2015-06-30,$505
2015-03-31,$-259
2014-12-31,$-329
2014-09-30,$190
2014-06-30,$27
2014-03-31,$-144
2013-12-31,$-105
2013-09-30,$-704
2013-06-30,"$1,826"
2013-03-31,$228
2012-12-31,$807
2012-09-30,$83
2012-06-30,$-264
2012-03-31,$641
2011-12-31,$208
2011-09-30,$250
2011-06-30,$178
2011-03-31,$134
2010-12-31,$138
2010-09-30,$60
2010-06-30,$37
2010-03-31,$53
2009-12-31,$41
2009-09-30,$31
2009-06-30,$30
2009-03-31,$16
