Stantec Quarterly Net Income (Millions of US $),Stantec Quarterly Net Income (Millions of US $).1
2024-06-30,$62
2024-03-31,$59
2023-12-31,$54
2023-09-30,$77
2023-06-30,$65
2023-03-31,$48
2022-12-31,$55
2022-09-30,$52
2022-06-30,$48
2022-03-31,$35
2021-12-31,$13
2021-09-30,$56
2021-06-30,$51
2021-03-31,$40
2020-12-31,$14
2020-09-30,$47
2020-06-30,$38
2020-03-31,$30
2019-12-31,$32
2019-09-30,$44
2019-06-30,$37
2019-03-31,$34
2018-12-31,$-9
2018-09-30,$-14
2018-06-30,$31
2018-03-31,$29
2017-12-31,$9
2017-09-30,$37
2017-06-30,$73
2017-03-31,$-44
2016-12-31,$22
2016-09-30,$38
2016-06-30,$16
2016-03-31,$22
2015-12-31,$19
2015-09-30,$38
2015-06-30,$35
2015-03-31,$32
2014-12-31,$31
2014-09-30,$45
2014-06-30,$40
2014-03-31,$31
2013-12-31,$32
2013-09-30,$44
2013-06-30,$37
2013-03-31,$28
2012-12-31,$31
2012-09-30,$34
2012-06-30,$31
2012-03-31,$25
2011-12-31,$-66
2011-09-30,$29
2011-06-30,$26
2011-03-31,$25
2010-12-31,$24
2010-09-30,$32
2010-06-30,$23
2010-03-31,$14
2009-12-31,$22
2009-09-30,$-9
2009-06-30,$21
2009-03-31,$17
