Chunghwa Telecom Quarterly Net Income (Millions of US $),Chunghwa Telecom Quarterly Net Income (Millions of US $).1
2024-06-30,$303
2024-03-31,$299
2023-12-31,$279
2023-09-30,$287
2023-06-30,$323
2023-03-31,$317
2022-12-31,$223
2022-09-30,$308
2022-06-30,$328
2022-03-31,$323
2021-12-31,$314
2021-09-30,$336
2021-06-30,$320
2021-03-31,$313
2020-12-31,$343
2020-09-30,$284
2020-06-30,$287
2020-03-31,$275
2019-12-31,$247
2019-09-30,$260
2019-06-30,$323
2019-03-31,$272
2018-12-31,$334
2018-09-30,$263
2018-06-30,$331
2018-03-31,$298
2017-12-31,$324
2017-09-30,$336
2017-06-30,$346
2017-03-31,$309
2016-12-31,$252
2016-09-30,$303
2016-06-30,$342
2016-03-31,$354
2015-12-31,$277
2015-09-30,$369
2015-06-30,$361
2015-03-31,$341
2014-12-31,$270
2014-09-30,$320
2014-06-30,$353
2014-03-31,$338
2013-12-31,$308
2013-09-30,$328
2013-06-30,$355
2013-03-31,$309
2012-12-31,$308
2012-09-30,$349
2012-06-30,$376
2012-03-31,$325
2011-12-31,$339
2011-09-30,$397
2011-06-30,$458
2011-03-31,$410
2010-12-31,$363
2010-09-30,$391
2010-06-30,$411
2010-03-31,$386
2009-12-31,$336
2009-09-30,$335
2009-06-30,$350
2009-03-31,$318
