Avient Quarterly Net Income (Millions of US $),Avient Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$49
2023-12-31,$29
2023-09-30,$5
2023-06-30,$22
2023-03-31,$20
2022-12-31,$545
2022-09-30,$-10
2022-06-30,$85
2022-03-31,$84
2021-12-31,$30
2021-09-30,$53
2021-06-30,$69
2021-03-31,$79
2020-12-31,$74
2020-09-30,$2
2020-06-30,$23
2020-03-31,$33
2019-12-31,$465
2019-09-30,$43
2019-06-30,$42
2019-03-31,$38
2018-12-31,$11
2018-09-30,$50
2018-06-30,$51
2018-03-31,$47
2017-12-31,$38
2017-09-30,$39
2017-06-30,$-181
2017-03-31,$47
2016-12-31,$34
2016-09-30,$42
2016-06-30,$50
2016-03-31,$39
2015-12-31,$3
2015-09-30,$45
2015-06-30,$67
2015-03-31,$30
2014-12-31,$-15
2014-09-30,$33
2014-06-30,$32
2014-03-31,$29
2013-12-31,$25
2013-09-30,$23
2013-06-30,$181
2013-03-31,$15
2012-12-31,$3
2012-09-30,$24
2012-06-30,$25
2012-03-31,$20
2011-12-31,$12
2011-09-30,$22
2011-06-30,$29
2011-03-31,$110
2010-12-31,$90
2010-09-30,$4
2010-06-30,$48
2010-03-31,$21
2009-12-31,$78
2009-09-30,$48
2009-06-30,$-2
2009-03-31,$-18
