Equity Lifestyle Properties Quarterly Net Income (Millions of US $),Equity Lifestyle Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$78
2024-03-31,$110
2023-12-31,$92
2023-09-30,$77
2023-06-30,$63
2023-03-31,$82
2022-12-31,$73
2022-09-30,$67
2022-06-30,$62
2022-03-31,$83
2021-12-31,$66
2021-09-30,$71
2021-06-30,$61
2021-03-31,$65
2020-12-31,$65
2020-09-30,$51
2020-06-30,$46
2020-03-31,$67
2019-12-31,$55
2019-09-30,$64
2019-06-30,$46
2019-03-31,$113
2018-12-31,$50
2018-09-30,$56
2018-06-30,$46
2018-03-31,$60
2017-12-31,$45
2017-09-30,$49
2017-06-30,$39
2017-03-31,$57
2016-12-31,$37
2016-09-30,$41
2016-06-30,$35
2016-03-31,$51
2015-12-31,$35
2015-09-30,$37
2015-06-30,$32
2015-03-31,$27
2014-12-31,$29
2014-09-30,$26
2014-06-30,$25
2014-03-31,$38
2013-12-31,$24
2013-09-30,$30
2013-06-30,$18
2013-03-31,$35
2012-12-31,$24
2012-09-30,$16
2012-06-30,$2
2012-03-31,$12
2011-12-31,$-0
2011-09-30,$-3
2011-06-30,$7
2011-03-31,$19
2010-12-31,$6
2010-09-30,$12
2010-06-30,$6
2010-03-31,$15
2009-12-31,$6
2009-09-30,$11
2009-06-30,$3
2009-03-31,$14
