"Grifols, S.A Quarterly Net Income (Millions of US $)","Grifols, S.A Quarterly Net Income (Millions of US $).1"
2024-06-30,$16
2023-09-30,$65
2023-06-30,$57
2023-03-31,$-116
2022-06-30,$96
2021-06-30,$165
2019-06-30,$194
2018-06-30,$209
2017-06-30,$158
2017-03-31,$143
2016-12-31,$150
2016-09-30,$158
2016-06-30,$157
2016-03-31,$138
2015-12-31,$144
2015-09-30,$156
2015-06-30,$147
2015-03-31,$145
2014-12-31,$149
2014-09-30,$151
2014-06-30,$139
2014-03-31,$168
2013-12-31,$104
2013-09-30,$112
2013-06-30,$121
2013-03-31,$118
2012-12-31,$76
2012-09-30,$80
2012-06-30,$85
2012-03-31,$87
2011-12-31,$9
2011-09-30,$35
